,Aa,Aa,AaN
a,aA,"Aa a a {0., 0., 0.}","Aa a a a a"N
a0a,:a:`a_{A_0-a}/a`,a,"Aa a a a a a a a"N
a0a,:a:`a_{A_0-a}/a`,a,"Aa a a a a a a a a a a a a a a a a ``{a}`` a."N
a_a_a_a,--,a a,"Aa a ``.a`` a a a a a a a a a a a a ``'A'`` a a ``{a}`` a. Aa a ``a/a_a_a_a.a``."N
a_a,,,N
-- Aa,--,"Aa a  a {'A','A', 'a'}","Aa a a a a (A, A a/a a) a a a a a a a a a a."N
-- AaAa,--,"Aa a a {'a','A0'}","Aa a a a (a a/a a) a a a/a a a a."N
a_a,,,N
-- a,a,a,"Aa a a a a a a a a a a a a a a a ``a_a``. Aa. `AaA a <a://a.a.a/a/a/a.a#a-a>`_."N
-- A0,a,a,"Aa a a a a a a a a a a a a a a a a ``a_a``. Aa. `AaA a <a://a.a.a/a/a/a.a#a-a>`_."N
a_a,--,"a `a.a <a://a.a.a/a-a/a/a/a/a.AaAa.a.a>`_ a a, a.a. Aa a a ['Aa']","Aa a a a a a a."N
a_a,--,"a `a.a <a://a.a.a/a-a/a/a/a/a.AaAa.a.a>`_ a a, a.a. Aa a ['Aa']","Aa a a a a a a."N
a_a,--,"Aa a a {a, a, A, A, a, a, a, a}","Aa a a a a a a a a a a ``a/a.a``."N
