"a","a","a","a","a","a","a","a"N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","A-0","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","A-0","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","0-A0","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A0","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","A-0","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","A-0","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","A-0","0/0/0 0:0:0","0-0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
"0","0-A","0/0/0 0:0:0","0","0.0","0.0","0",""N
