A,A,A,A,A%,A,A,A,A,A%,0A,0A,0A%,A,A,A%,A,A,A,A,A,A,A,A,A,A,+/-N
Aa Aa ,0,0,0,"0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0",0,"0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0",0,"0,0","0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0",0,"0,0","0,0","0,0","0,0",0,0,"0,0","0,0",0,"0,0","0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0",0,"0,0","0,0","-0,0"N
Aa 0a ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","-0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0",0,"-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0",0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0",0,"0,0",0,"0,0","0,0","0,0","0,0",0,"0,0","0,0",0,"0,0","0,0",0,"0,0","0,0","0,0",0,"0,0","-0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0",0,"0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,0"N
A Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0",0,"0,0"N
Aa Aa ,0,0,0,"0,0","0,0",0,"0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0","0,0","0,0","0,0","0,0",0,"0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0"N
Aa Aa Aa ,0,0,0,"0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0"N
Aa Aa ,0,0,0,"0,0","0,0",0,"0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0",0,"0,0","0,0","0,0","-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0",0,"0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,0,"0,0",0N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","-0,0"N
Aa Aa ,0,0,0,"0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0","0,0",0,"0,0","-0,0"N
