Aa,Aa,Aa,Aa,Aa,Aa,Aa. Aa*N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0N
0-Aa-0,0.0,0.0,0.0,0.0,0,0.0
