AaAa,AaAa,AaAa,AaN
0,Aa Aa. Aa,0/0/0,0N
0,Aa Aa. Aa,0/0/0,0N
0,Aa Aa. Aa,0/0/0,0N
0,Aa Aa. Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,AaAa Aa Aa,0/0/0,0N
0,AaAa Aa Aa,0/0/0,0N
0,AaAa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,A Aa Aa,0/0/0,0N
0,A Aa Aa,0/0/0,0N
0,A Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,AaAa Aa,0/0/0,0N
0,AaAa Aa,0/0/0,0N
0,AaAa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa Aa.,0/0/0,0N
0,Aa Aa Aa Aa.,0/0/0,0N
0,Aa Aa Aa Aa.,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa & Aa,0/0/0,0N
0,Aa Aa & Aa,0/0/0,0N
0,Aa Aa & Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,A Aa,0/0/0,0N
0,A Aa,0/0/0,0N
0,A Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa AaAa,0/0/0,0N
0,Aa AaAa,0/0/0,0N
0,Aa AaAa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa-Aa Aa Aa,0/0/0,0N
0,Aa-Aa Aa Aa,0/0/0,0N
0,Aa-Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa Aa,0/0/0,0N
0,Aa Aa,0/0/0,0N
