Aa a Aa,Aa a Aa,a Aa a Aa,a Aa,a AaN
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
0-0-0 0:0,0,0,0,0:0N
0-0-0 0:0,0,0,,0:0N
