Aa:,AaA,,Aa A a:,0N
#0,Aa0,0,0,0N
#0,Aa,0,0,0N
#0,Aa_Aa,0,0,0N
#0,A_Aa,0,0,0N
#0,Aa_a_a,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa_0,0,0,0N
#0,Aa_Aa,0,0,0N
#0,A0a_Aa,0,0,0N
#0,0a_Aa,0,0,0N
#0,AaA,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa,0,0,0N
#0,A0A,0,0,0N
#0,Aa,0,0,0N
#0,Aa_Aa,0,0,0N
#0,A0a,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa_Aa,0,0,0N
#0,A0a_A0a,0,0,0N
#0,Aa,0,0,0N
#0,0A,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa_a,0,0,0N
#0,Aa_a_a,0,0,0N
#0,Aa0a_A0a,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa_Aa_Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa_a,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa0a0a,0,0,0N
#0,Aa0,0,0,0N
#0,Aa,0,0,0N
#0,Aa_a,0,0,0N
#0,Aa_Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa,0,0,0N
#0,Aa_Aa_A,0,0,0
