Aa	Aa				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa a Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa Aa Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
Aa 	A 				N
