A	Aa a a a a-a a	Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa, Aa, Aa a Aa, Aa AaN
A	Aa a (a a a a)	Aa Aa/Aa Aa/Aa Aa AaN
A	Aa a a a a a a a a a a a a a a a-a a	Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa AaN
A	Aa a a a a a a a a a a a	Aa a Aa Aa, Aa Aa, Aa Aa AaN
A	Aa a a a-a a	Aa Aa Aa, Aa Aa Aa, Aa Aa Aa Aa, Aa-Aa Aa, Aa Aa AaN
A	Aa a a a a a Aa Aa a a	Aa Aa/Aa Aa/Aa Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa (Aa Aa), Aa Aa Aa (Aa Aa), Aa Aa Aa, Aa AaN
A	Aa a a a a a a a a a	Aa AaN
A	Aa a a a a a a a a a a-a a	Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa Aa, Aa Aa AaN
A	Aa, a a a a a a a a-a a a	Aa Aa, AaN
A	Aa a a a a a a-a a	Aa AaN
A	Aa a a	Aa Aa Aa Aa, Aa Aa/Aa Aa/Aa Aa Aa, Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa, Aa Aa, Aa/Aa Aa Aa, Aa Aa Aa, Aa Aa Aa Aa, Aa-Aa Aa, Aa Aa Aa (Aa Aa), Aa Aa Aa (Aa Aa), Aa a Aa Aa, Aa-Aa Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa Aa, Aa AaN
A	Aa a	Aa Aa/Aa Aa/Aa Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa, Aa Aa Aa Aa a Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa Aa Aa a Aa Aa Aa, Aa a Aa Aa, Aa Aa, Aa Aa Aa, Aa/Aa Aa Aa, Aa a Aa Aa Aa, Aa Aa, Aa Aa Aa a Aa Aa, Aa Aa Aa a Aa Aa a Aa Aa Aa, Aa Aa Aa Aa Aa, Aa Aa Aa Aa, Aa-Aa Aa Aa (0% Aa), Aa-Aa Aa Aa (0% a 0% Aa), Aa Aa Aa Aa, Aa Aa, Aa Aa Aa (A Aa), Aa Aa Aa, Aa Aa Aa, Aa Aa Aa, Aa Aa, Aa Aa, Aa Aa, Aa Aa Aa Aa (Aa-Aa), A Aa Aa Aa (Aa-Aa)N
A	Aa a-a a	Aa Aa/Aa Aa/Aa Aa Aa
