a	a	aN
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0N
0	0	0
