a_a	a	a_a	a	a_a	a	a_a	a_a_a	a_a_a_aN
#a0:a		a	a	a	a	a	a	aN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	Aa	0	a a a AaN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0.a	A	0	a	A0	a_0	Aa	0	a a AaN
a.0.A.A0.A0.a	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a	A0	a_0	A	0	a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a AN
a.0.A.A0.A0	A	0	a a	A0	a_0	A	0	a a a A
