a-a	a-a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0.a	$A/a_a/a_a/0.a.0.A.A0.A0.a_0_A0_A0_0.a.a
a.0.A.A0.A0.a	$A/a_a/a_a/0.a.0.A.A0.A0.a_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
a.0.A.A0.A0	$A/a_a/a_a/0.a.0.A.A0.A0_0_A0_A0_0.a.a
