a(a)	a	aN
[0, 0, 0, 0, 0]	0	a	Aa a a a. 0 + 0 + 0 = 0N
[0, 0, 0, 0, 0]	0	a	Aa a a a. 0 a a, a 0 + 0 + 0 a a a a 0 + 0 + 0 a a aN
[0, 0, 0]	0	a	0 + 0 + 0 = 0N
[0, 0, 0]	0	a	0 a a a a a a aN
[0, 0, 0]	0	a	0 + 0 + 0 = 0N
[0, 0]	0	a	0 + 0 + 0 = 0, a a a a a a a a aN
[0, 0, 0, 0, 0, 0]	0	a	0 + 0 + 0 = 0, 0 + 0 + 0 = 0N
[-0, 0, 0]	0	a	AN
[-0, -0, 0, -0, 0, 0, 0]	0	a	AN
[0, 0, -0, 0, -0, -0, 0, 0, 0, 0, 0, -0, 0, -0, -0, 0, 0, 0, 0, 0, 0, 0, -0, 0, -0, 0, -0, 0, 0, -0, -0, -0, 0, 0, -0, -0, 0, 0, 0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, -0, 0, 0, 0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, -0, -0, -0, -0, -0, -0, 0, -0, -0, 0, -0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, -0, -0, 0, -0, 0, -0, -0, -0, 0, -0, 0, 0]	0	a	AN
[0, 0, 0, -0, -0, 0, 0, -0, 0, -0, -0, 0, 0, -0, -0, -0, 0, -0, 0, 0, 0, -0, 0, 0, 0, -0, 0, -0, 0, 0, -0, -0, 0, -0, -0, 0, -0, -0, -0, 0, -0, 0, 0, 0, 0, -0, 0, 0, -0, 0, -0, 0, 0, -0, 0, 0, 0, -0, -0, 0, -0, 0, 0, 0, 0, 0, -0, -0, 0, -0, 0, 0, 0, -0, -0, 0, 0, 0, -0, 0, 0, 0, 0, -0, -0, -0, 0, -0, 0, 0, -0, 0, 0, 0, -0, 0, -0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, 0]	-0	a	AN
[0, 0, 0, 0, -0, 0, -0, -0, -0, -0, 0]	0	a	AN
[0]	-0	a	AN
[0, 0, -0, -0, -0, 0, 0, -0, 0, 0, -0, 0, 0, 0, -0, -0, -0, -0, -0, -0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, 0, -0, 0, -0, -0, 0, -0, -0, 0, 0, -0, 0, -0, -0, 0, -0, 0, -0, -0, 0]	0	a	AN
[0, 0, 0, -0, -0, 0, -0]	-0	a	AN
[-0, -0, -0, 0, 0, 0, 0, -0, -0, 0, 0, -0, -0, 0, -0, -0, 0, -0, 0, 0, -0, -0, 0, 0, -0, -0, -0, -0, 0, 0, -0, 0, -0, -0, -0, 0, 0, 0, 0, 0, 0, -0, -0, -0, -0, 0, -0, 0, -0, 0, -0, -0, 0, -0, -0, -0, -0, 0, 0, 0, -0, -0, 0, -0, -0, 0, 0, 0, 0, 0, 0, 0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, -0, 0, 0, -0, 0, 0, 0, -0, -0, -0, 0, 0, -0, 0, -0, -0, -0, 0, -0, -0, 0, -0, -0, 0, 0, 0, -0, -0, 0, 0, 0, -0, 0, 0, 0, 0, 0, 0, -0, 0, 0, -0, 0, -0, 0, 0, -0, -0, -0, -0, 0, 0, -0, -0, 0, -0, 0, 0, -0, 0, -0, -0, 0, 0, 0, -0, 0, 0, -0, 0, -0, 0, -0, 0, 0, -0, -0, 0, -0, -0, 0, 0, 0, 0, 0, 0, -0, 0, -0, -0, -0, 0, -0, -0, 0, 0, 0, -0, 0, -0, 0, 0, 0, 0, -0, 0, 0, -0, -0, 0, 0, 0, 0, 0, 0, 0, -0, -0, -0, -0, 0, -0, 0, 0, 0, -0, 0, -0, -0, 0, -0, 0, 0, -0, -0, -0, -0, 0, 0, 0, -0, 0, -0, -0, -0, -0, -0, -0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, -0, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, 0, -0, -0, 0, -0, 0, 0, -0, -0, 0, -0, 0, -0, 0, -0, 0, 0, 0, 0, -0, 0, -0, 0, -0, -0, -0, -0, -0, 0, 0, -0, 0, 0, 0, -0, -0, -0, -0, -0, 0, -0, -0, 0, 0, -0, 0, -0, 0, 0, 0, -0, -0, 0, -0, -0, -0, 0, -0, 0, -0, 0, -0, 0, -0, 0, -0, -0, -0, -0, 0, 0, 0]	0	a	AN
[0, -0]	0	a	AN
[0, -0, -0, 0]	-0	a	AN
[-0, 0, 0, 0, -0, 0, 0, 0, 0, -0, -0]	-0	a	AN
[0]	-0	a	AN
[-0, -0, 0, -0, -0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, -0, -0, -0, 0, 0, -0, 0, 0, 0, -0, -0, -0, -0, 0, -0, -0, -0, 0, 0, -0, -0, -0, -0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, 0, -0, -0, -0, -0, -0, -0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, 0, -0, -0, -0, -0, -0, 0, -0, -0, -0, 0, 0, 0, -0, 0, -0, -0, -0, -0, 0, 0, 0, 0, 0, 0, 0, -0, -0, -0, 0, -0, -0, -0, 0, -0, -0, -0, -0, 0, 0, 0, -0, -0, -0, 0, 0, -0, 0, 0, 0, 0, -0, 0, 0, -0, 0, 0, 0, 0, 0, -0, 0, 0, -0, -0, 0, -0, 0, -0, 0, 0, 0, 0, 0, -0, -0, -0, 0, -0, -0, -0, -0, 0, 0, 0, 0, -0, 0, -0, -0, -0, -0, 0, 0, -0, -0, -0, -0, 0, -0, 0, -0, -0, 0, 0, -0, -0, -0, 0, 0, -0, -0, -0, -0, 0, 0, -0, 0, -0, -0, 0, -0, -0, -0, -0, -0, -0, -0, 0, 0, 0, 0, -0, -0, 0, 0, -0, 0, 0, -0, 0, 0, -0, 0, -0, -0, 0, 0, 0, -0, -0, 0, -0, 0, -0, -0, 0, 0, 0, -0, -0, 0, -0, 0, -0, 0, -0, 0, 0, 0, -0, -0, 0, -0, 0, -0, -0, 0, 0, 0, 0, -0, -0, 0, -0, -0, 0, -0, 0, -0, -0, -0, 0, 0, 0, 0, -0, 0, -0, 0, -0, 0, -0, 0, -0, -0, 0, -0, 0, 0, 0, 0, 0, 0, -0, -0, -0, 0, 0, 0, 0, 0, 0, -0, 0, -0, -0, 0, 0, 0, 0, -0, -0, -0, 0, 0, -0, -0, 0, -0, -0, -0, 0, 0, -0, -0, 0, 0, -0, 0, 0, -0, -0, -0, 0, -0, 0, -0, 0, -0, -0, 0, 0, -0, 0, 0, 0, 0, -0, 0, -0, -0, -0, 0, 0, 0, -0, 0, -0, 0, -0, 0, 0, -0, -0, 0, -0, 0, -0, -0, -0, 0, 0, 0, -0, -0, -0, -0, -0, 0, 0, 0, -0, 0, -0, -0, -0, 0, -0, -0, -0, -0, 0, 0, 0, -0, -0, -0, 0, 0, -0, -0, -0, -0, 0, 0, -0, -0, -0, 0, 0, -0, -0, 0, 0, -0, 0, 0, -0, -0, -0, -0, -0, 0, -0, 0, -0, 0, -0, 0, 0, 0]	-0	a	AN
[0, 0, -0, -0, -0, 0, 0]	0	a	AN
[-0]	-0	a	AN
[-0, -0, 0, 0, 0, 0, 0, -0, -0, -0, -0, 0, 0, -0, 0, 0, -0, 0, 0, 0, -0, -0, 0, -0, -0, -0, 0, 0, -0, 0, -0, 0, -0, -0, 0, 0, -0, 0, 0, 0, 0, -0, 0, -0, 0, 0, -0, 0, 0, -0, 0, 0, 0, 0, 0, 0, -0, -0, 0, -0, -0, 0, -0, 0, -0, -0, 0, 0, -0, -0, 0, -0, -0, 0, 0, -0, 0, -0, -0, -0, -0, 0, 0]	0	a	AN
[-0, 0, 0, 0, -0, 0, -0, 0, 0, -0, 0, -0, 0, 0, -0, -0, -0, 0, -0, -0, -0, 0, 0, -0, 0, 0, -0, -0, 0, 0, -0, -0, -0, -0, -0, 0, 0, -0, 0, -0, -0, -0, -0, -0, 0, 0, -0, 0, 0, 0, -0, 0, 0, -0]	-0	a	AN
[0, -0, -0, 0, 0, 0, 0, 0, -0, -0, 0]	-0	a	AN
[-0, 0, -0, 0, 0]	0	a	AN
