Aa	AaAa	AaAa	AaAaN
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
A	0.0%	0.0%	0.0N
